Cell	nCount_Spatial	nFeature_Spatial	percent.mito	seurat_clusters	celltype	Cluster
72155450585700	7969	2551	7.228009	0	VZ+IZ	0
60559038889000	8039	2634	6.97848	0	VZ+IZ	0
67001489833700	11399	3144	5.868936	7	RL	7
67001489833800	13816	3565	5.56601	7	RL	7
62277025803300	9256	2699	7.35739	6	Vessels	6
51969104295600	15309	3383	8.106343	2	oEGL	2
64424509449900	8210	2400	6.419001	4	Chroid plexus	4
66142496368400	17274	3775	6.784763	2	oEGL	2
62277025805400	7879	2424	7.29788	1	VZ+IZ	1
62706522532100	9341	2594	8.885558	3	iEGL	3
65712999643800	8226	2687	6.430829	0	VZ+IZ	0
63136019265500	7457	2374	8.676411	5	VZ+IZ	5
69148973478700	7663	2385	6.603158	0	VZ+IZ	0
61847529074700	8229	2538	7.619395	1	VZ+IZ	1
69148973476600	9335	2795	6.995179	0	VZ+IZ	0
63995012721400	8541	2519	7.352769	1	VZ+IZ	1
64854006178900	3223	1152	6.174372	4	Chroid plexus	4
64424509451600	7772	2396	8.62069	5	VZ+IZ	5
76879914610200	18432	4282	6.472439	2	oEGL	2
73443940774700	7353	2524	7.50714	0	VZ+IZ	0
57552561778100	13881	3097	8.111808	2	oEGL	2
57552561778600	9095	2553	8.774052	0	VZ+IZ	0
57123065049000	9430	2594	8.069989	1	VZ+IZ	1
54975581402500	9302	2446	9.43883	3	iEGL	3
59270548698800	9232	2806	7.203206	0	VZ+IZ	0
57982058510700	8391	2624	8.759385	0	VZ+IZ	0
59270548698300	8720	2691	6.926606	1	VZ+IZ	1
55405078132800	7159	2048	11.551893	3	iEGL	3
60129542154300	6878	2129	5.597557	4	Chroid plexus	4
60129542158800	8750	2776	5.988571	0	VZ+IZ	0
57982058511100	6695	2078	10.918596	1	VZ+IZ	1
60129542157800	8117	2575	7.293335	1	VZ+IZ	1
77309411340700	8379	2545	6.480487	4	Chroid plexus	4
57982058507500	11270	2826	8.979592	2	oEGL	2
74732430964000	7206	2107	9.49209	3	iEGL	3
68289980017200	10295	2992	7.770763	0	VZ+IZ	0
68289980021100	8027	2592	7.325277	0	VZ+IZ	0
68719476746000	13141	3438	4.809375	3	iEGL	3
68719476747000	9074	2766	7.615164	0	VZ+IZ	0
68719476747700	7578	2427	7.416205	5	VZ+IZ	5
68719476749700	7057	2219	6.702565	0	VZ+IZ	0
67860483292000	7851	2532	8.750478	0	VZ+IZ	0
68719476752000	15268	3743	4.912235	7	RL	7
69148973475700	12985	3274	5.876011	2	oEGL	2
69148973477300	8034	2515	6.547175	1	VZ+IZ	1
78168404798700	9013	2572	5.503162	10	Chroid plexus	10
67430986562100	8189	2709	5.348638	0	VZ+IZ	0
76450417879700	8061	2359	6.612083	4	Chroid plexus	4
76020921152800	8492	2585	6.170513	4	Chroid plexus	4
76020921151400	9603	2556	9.913569	3	iEGL	3
76020921150900	14917	3460	9.123818	2	oEGL	2
76020921150700	13359	3182	8.24912	2	oEGL	2
67430986556900	5333	1748	5.681605	4	Chroid plexus	4
67430986558700	8149	2589	7.227881	0	VZ+IZ	0
67430986559500	7905	2475	5.819102	0	VZ+IZ	0
68289980016300	19027	4169	4.325432	2	oEGL	2
75161927692400	10369	3003	5.757547	1	VZ+IZ	1
67430986562200	7915	2561	7.567909	0	VZ+IZ	0
67430986562300	7614	2550	6.803257	0	VZ+IZ	0
67860483288100	9872	2849	7.070502	5	VZ+IZ	5
67860483288200	8378	2552	7.507758	0	VZ+IZ	0
78168404799100	8101	2634	6.554746	10	Chroid plexus	10
69578470206500	9229	2666	7.313902	0	VZ+IZ	0
71296457125400	9453	2864	6.442399	0	VZ+IZ	0
76879914608900	2359	925	6.231454	8	Epithelia	8
70866960396400	8498	2594	7.201695	5	VZ+IZ	5
70866960399400	2957	1126	10.957051	3	iEGL	3
70866960399800	9533	2933	4.195951	7	RL	7
71296457122200	6340	1826	8.012618	4	Chroid plexus	4
73443940772600	9321	2871	6.791117	5	VZ+IZ	5
73014444043500	9154	2836	7.319205	0	VZ+IZ	0
71296457123600	20240	4079	6.531621	2	oEGL	2
78597901528100	5354	1956	7.975346	10	Chroid plexus	10
71296457124000	7823	2270	10.916528	0	VZ+IZ	0
70866960395200	8618	2678	6.718496	0	VZ+IZ	0
71296457126700	7666	2455	7.722411	0	VZ+IZ	0
71296457126800	8185	2573	5.913256	0	VZ+IZ	0
71725953854200	9418	2880	6.922914	0	VZ+IZ	0
72155450583100	8993	2469	10.20794	3	iEGL	3
72584947316900	8371	2574	7.609605	6	Vessels	6
72155450587400	7534	2385	8.22936	1	VZ+IZ	1
72584947312300	9010	2498	6.936737	9	oEGL	9
72584947314700	8739	2740	6.453828	6	Vessels	6
72584947312500	21035	4169	5.795103	2	oEGL	2
77738908069300	10623	2965	6.834228	4	Chroid plexus	4
69148973481700	9417	3065	4.714877	7	RL	7
69578470205100	20304	3908	6.215524	2	oEGL	2
69578470209100	7106	2248	8.542077	0	VZ+IZ	0
69578470210800	8266	2504	8.782966	7	RL	7
74302934232900	9459	2875	7.664658	1	VZ+IZ	1
70007966934700	19038	3849	5.362958	2	oEGL	2
70007966936700	8476	2574	6.418122	1	VZ+IZ	1
70007966936800	8720	2706	5.561927	0	VZ+IZ	0
74302934231600	7663	2228	9.630693	3	iEGL	3
74732430961900	8684	2580	6.494703	1	VZ+IZ	1
70007966938100	7652	2448	6.887088	1	VZ+IZ	1
70007966940700	14629	3563	4.798688	7	RL	7
77738908069400	9020	2670	7.450111	10	Chroid plexus	10
70007966940800	8150	2681	4.858896	7	RL	7
70437463664900	8056	2419	10.054618	1	VZ+IZ	1
73443940773700	8098	2603	8.162509	0	VZ+IZ	0
70437463668800	7223	2477	5.911671	5	VZ+IZ	5
77738908069700	8904	2617	6.424079	4	Chroid plexus	4
70866960394300	9369	2797	7.012488	6	Vessels	6
60559038887600	8158	2539	6.803138	1	VZ+IZ	1
58841051965100	6021	2060	5.846205	4	Chroid plexus	4
58841051966200	10887	2678	6.631763	2	oEGL	2
58841051968800	9851	2824	7.166785	0	VZ+IZ	0
59270548697700	9125	2714	7.463014	1	VZ+IZ	1
59270548698600	8795	2622	7.629335	0	VZ+IZ	0
59270548701100	6194	2080	6.021957	7	RL	7
59700045429600	8490	2718	5.877503	5	VZ+IZ	5
59700045430000	7210	2198	9.889043	5	VZ+IZ	5
60129542157200	8398	2489	9.240295	1	VZ+IZ	1
60129542158500	8296	2593	7.979749	0	VZ+IZ	0
60559038884100	10440	2710	5.823755	9	oEGL	9
60559038885100	8754	2600	7.996345	5	VZ+IZ	5
58411555237900	7914	2256	12.143038	1	VZ+IZ	1
60559038888100	7900	2523	8.113924	1	VZ+IZ	1
60559038888600	8987	2778	6.587293	0	VZ+IZ	0
60559038888700	7514	2436	8.637211	0	VZ+IZ	0
60988535614400	8875	2646	7.785915	1	VZ+IZ	1
60988535616400	7764	2487	7.135497	6	Vessels	6
60988535617200	9175	2830	6.899183	0	VZ+IZ	0
60988535617700	8335	2606	7.414517	0	VZ+IZ	0
60988535618600	8092	2695	6.957489	5	VZ+IZ	5
60988535619700	5345	1897	4.471469	7	RL	7
61418032345800	8469	2553	7.686858	5	VZ+IZ	5
61418032348300	8141	2582	8.057978	0	VZ+IZ	0
55834574860000	13438	3267	7.947611	2	oEGL	2
51539607566600	15042	3519	7.120064	2	oEGL	2
52398601025700	6245	1800	10.424339	3	iEGL	3
52398601026300	15351	3447	5.901896	2	oEGL	2
53687091213700	14684	3299	9.520567	2	oEGL	2
54116587943000	17479	3680	7.260141	2	oEGL	2
54116587943400	9206	2353	10.949381	3	iEGL	3
54546084671900	15426	3413	10.145209	2	oEGL	2
54546084673600	8039	2268	9.87685	3	iEGL	3
54546084674700	18545	3974	6.071717	2	oEGL	2
54975581404500	10906	2630	5.629928	2	oEGL	2
55405078134000	18055	4020	6.186652	2	oEGL	2
61418032349100	9290	2843	6.038751	7	RL	7
55834574861300	9140	2761	7.702407	0	VZ+IZ	0
56264071591800	7155	2181	9.797345	1	VZ+IZ	1
56693568319900	9026	2701	7.467317	1	VZ+IZ	1
56693568320600	8873	2600	9.827567	1	VZ+IZ	1
57123065048200	10300	2538	5.203883	9	oEGL	9
57123065050000	9523	2782	7.466135	0	VZ+IZ	0
57123065051000	8377	2455	8.475588	6	Vessels	6
57982058509100	8268	2367	9.978229	0	VZ+IZ	0
57982058509400	8878	2560	10.081099	0	VZ+IZ	0
57982058510500	9075	2735	7.460055	0	VZ+IZ	0
57982058511800	15469	3671	5.927985	2	oEGL	2
65712999639200	9719	2697	7.840313	3	iEGL	3
63565515996600	8818	2523	8.391926	6	Vessels	6
63565515997200	15412	3846	4.249935	7	RL	7
63995012720900	9124	2593	7.233669	1	VZ+IZ	1
63995012721600	9078	2686	6.653448	0	VZ+IZ	0
63995012721700	8155	2589	7.148988	0	VZ+IZ	0
63995012724200	7849	2396	7.440438	1	VZ+IZ	1
63995012724500	7528	2380	6.787991	1	VZ+IZ	1
63995012725200	8342	2665	6.257492	0	VZ+IZ	0
63995012726500	8101	2599	7.937292	2	oEGL	2
64424509449400	3032	1084	7.453826	4	Chroid plexus	4
64854006179000	1576	583	7.106599	8	Epithelia	8
65712999638900	14929	3490	6.966307	2	oEGL	2
63565515995900	7974	2518	8.678204	0	VZ+IZ	0
65712999639800	7791	2300	10.422282	5	VZ+IZ	5
65712999642300	8064	2454	5.877976	0	VZ+IZ	0
66142496369900	8418	2599	7.650273	0	VZ+IZ	0
66142496372600	7381	2391	7.465113	1	VZ+IZ	1
66142496373200	7039	2309	6.108822	1	VZ+IZ	1
66142496374400	9974	2895	6.877882	7	RL	7
66571993099700	8279	2482	7.706245	5	VZ+IZ	5
66571993102900	7551	2556	6.343531	5	VZ+IZ	5
66571993103500	8033	2533	9.423628	0	VZ+IZ	0
62277025806900	7710	2463	7.146563	0	VZ+IZ	0
61847529071900	4949	1692	7.334815	4	Chroid plexus	4
61847529073500	8239	2406	8.738925	1	VZ+IZ	1
61847529074400	8292	2532	7.670043	5	VZ+IZ	5
61847529075600	8309	2513	7.642316	0	VZ+IZ	0
61847529077500	7956	2601	6.447964	0	VZ+IZ	0
61847529078900	6053	2130	5.071865	7	RL	7
62277025802900	8664	2486	10.064635	1	VZ+IZ	1
62277025803600	8502	2487	8.939073	0	VZ+IZ	0
62277025803900	9097	2644	7.859734	0	VZ+IZ	0
62277025805000	8641	2624	6.746904	5	VZ+IZ	5
62277025806000	7687	2533	6.218291	0	VZ+IZ	0
67001489827900	9839	2689	8.547617	1	VZ+IZ	1
62706522531800	12098	3264	4.628864	9	oEGL	9
62706522534200	8895	2755	6.531759	1	VZ+IZ	1
62706522538200	1267	572	8.997632	3	iEGL	3
63136019265100	7192	2225	8.259177	0	VZ+IZ	0
63136019266300	7769	2572	6.834856	0	VZ+IZ	0
63565515991000	14396	3397	5.918311	9	oEGL	9
63565515991600	8783	2560	8.675851	1	VZ+IZ	1
63565515991700	8270	2515	8.331318	1	VZ+IZ	1
63565515991900	9356	2682	8.144506	1	VZ+IZ	1
63565515992000	8749	2630	7.052235	1	VZ+IZ	1
63565515992400	8905	2662	7.636159	0	VZ+IZ	0
64424509455900	12534	3144	8.1618	2	oEGL	2
65283502909400	13491	3195	8.413016	2	oEGL	2
56693568318300	6311	1948	6.211377	4	Chroid plexus	4
62706522534800	8279	2454	7.162701	1	VZ+IZ	1
64424509454800	8030	2580	6.961395	0	VZ+IZ	0
65712999638000	3523	1326	8.118081	4	Chroid plexus	4
76450417876600	1529	619	7.128842	8	Epithelia	8
53257594484700	7112	1981	10.320585	3	iEGL	3
60129542155000	11775	2957	9.248408	2	oEGL	2
63136019262700	8583	2540	8.470232	0	VZ+IZ	0
69578470207700	7809	2430	7.132795	0	VZ+IZ	0
72584947315400	8350	2673	7.041916	0	VZ+IZ	0
74732430961100	7307	2150	8.703982	3	iEGL	3
75161927693000	9216	2473	7.693142	2	oEGL	2
64424509454600	7656	2401	7.066353	1	VZ+IZ	1
